ReferenceDay,Year,Month,Day,Hour,Minute,Second,BMRLabel,PFlux,PArea,PLatitude,PLongitude,PpixelAvgRadius,NFlux,NArea,NLatitude,NLongitude,NpixelAvgRadius,R,LeadingPolarity,DayAfterChrist,FRACYEAR,PlotSize,BMRLatitude,BMRLongitude,BMRArea,BMRFlux,Flux_cut,Tilt_rel,Tilt_abs,HH_22n,AH_22n,HH_22s,AH_22s,HH_23n,AH_23n,HH_23s,AH_23s,Cycle22n,Cycle22s,Cycle23n,Cycle23s,Hale,AntiHale
904,1992,6,23,14,13,19,122,1.41e+22,2.32e+19,12.464,-49.175,1.6715,-3.03e+22,5.54e+19,10.732,-45.952,2.8675,3.6012,-1,728000.0,1992.5,88.656641037206,11.598,-47.5635,3.93e+19,4.44e+22,True,-28.748664356463937,151.25133564353607,True,False,False,False,False,False,False,False,True,False,False,False,True,False
899,1992,6,18,15,54,4,123,7.4e+21,3.03e+19,24.616,-44.331,2.3680000000000003,-6.46e+21,1.01e+19,25.103,-39.966,1.0824,3.9908,-1,728000.0,1992.5,63.56099432828282,24.8595,-42.1485,2.02e+19,1.386e+22,True,7.010064319930931,-172.98993568006907,True,False,False,False,False,False,False,False,True,False,False,False,True,False
904,1992,6,23,14,13,19,125,6.43e+21,2.21e+19,-25.254,-67.928,1.7521,-7.06e+21,2.41e+19,-26.893,-72.874,1.8413,4.7342,1,728000.0,1992.5,67.97058187186572,-26.073500000000003,-70.401,2.31e+19,1.349e+22,True,20.25022441842216,20.25022441842216,False,False,True,False,False,False,False,False,False,True,False,False,True,False
900,1992,6,19,16,47,51,126,1.06e+21,5.64e+18,21.84,-36.44,0.92854,-9.69e+20,5.66e+18,21.224,-31.217,0.81617,4.897,-1,728000.0,1992.5,33.61547262794322,21.532,-33.8285,5.65e+18,2.029e+21,False,-7.225867055719988,172.77413294428,True,False,False,False,False,False,False,False,True,False,False,False,True,False
903,1992,6,22,16,52,40,127,2.8e+21,1.44e+19,19.109,-106.01,1.4544,-1.49e+21,7.36e+18,18.076,-99.323,1.0793,6.4203,-1,728000.0,1992.5,46.647615158762406,18.5925,-102.6665,1.088e+19,4.29e+21,True,-9.256957803152511,170.7430421968475,True,False,False,False,False,False,False,False,True,False,False,False,True,False
906,1992,6,25,14,46,4,129,4.07e+21,1.22e+19,-4.4999,-174.02,1.521,-3.36e+21,8.25e+18,-5.3234,-178.54,1.0856,4.5791,1,728000.0,1992.5,45.22167621838005,-4.91165,-176.28,1.0225e+19,7.43e+21,True,10.36271456692033,10.36271456692033,False,False,True,False,False,False,False,False,False,True,False,False,True,False
906,1992,6,25,14,46,4,130,1.08e+22,3.37e+19,12.613,-161.43,2.2513,-5.1e+21,2e+19,12.252,-152.92,2.0505,8.3176,-1,728000.0,1992.5,73.28028384224504,12.4325,-157.175,2.685e+19,1.59e+22,True,-2.487325972157369,177.51267402784262,True,False,False,False,False,False,False,False,True,False,False,False,True,False
910,1992,6,29,16,1,30,131,2.6e+21,1.18e+19,5.797000000000001,-137.92,1.1716,-2.52e+21,1.08e+19,6.1393,-134.84,1.2079,3.0908,-1,728000.0,1992.5,47.53945729601885,5.9681500000000005,-136.38,1.13e+19,5.12e+21,True,6.3758969874475895,-173.6241030125524,True,False,False,False,False,False,False,False,True,False,False,False,True,False
913,1992,7,2,14,17,24,136,6.03e+21,1.75e+19,8.1347,-3.990000000000009,1.5763,-5.22e+21,1.88e+19,7.254,3.1899999999999977,1.9174,7.167000000000001,-1,728000.0,1992.5,60.24948132556828,7.69435,-0.4000000000000057,1.815e+19,1.125e+22,True,-7.055874907633555,172.94412509236645,True,False,False,False,False,False,False,False,True,False,False,False,True,False
912,1992,7,1,17,38,5,137,2.84e+21,8.98e+18,-14.963,-144.74,1.0124,-1.67e+21,5.37e+18,-14.793,-146.86,0.78475,2.0598,1,728000.0,1992.5,37.88139384975162,-14.878,-145.8,7.175e+18,4.51e+21,True,-4.7429830732331375,-4.7429830732331375,False,False,True,False,False,False,False,False,False,True,False,False,True,False
912,1992,7,1,17,38,5,138,8.92e+22,1.22e+20,13.151,112.56,3.8179,-5.75e+22,1.4e+20,12.761,122.49,4.8345,9.6838,-1,728000.0,1992.5,161.86414056238647,12.956,117.525,1.31e+20,1.467e+23,True,-2.307821627956614,177.69217837204343,True,False,False,False,False,False,False,False,True,False,False,False,True,False
