Year,Month,Day,Hour,Minute,Second,BMRLabel,PFlux,PArea,PLatitude,PLongitude,PpixelAvgRadius,NFlux,NArea,NLatitude,NLongitude,NpixelAvgRadius,R,LeadingPolarity,DayAfterChrist,FRACYEAR,PlotSize,BMRLatitude,BMRLongitude,BMRArea,BMRFlux,Tilt_rel,Tilt_abs,HH_21n,AH_21n,HH_21s,AH_21s,HH_22n,AH_22n,HH_22s,AH_22s,Cycle21n,Cycle21s,Cycle22n,Cycle22s,Hale,AntiHale,Date,Instrument,HH_23n,AH_23n,HH_23s,AH_23s,Cycle23n,Cycle23s,HH_24n,AH_24n,HH_24s,AH_24s,Cycle24n,Cycle24s
1980,3,14,14,25,37.0,1361,3.62e+21,2e+19,15.335,28.459,2.4805,-1.15e+21,4.97e+18,18.704,25.837,0.80143,4.1985,1,723000.0,1980.2,49.969990994595946,17.0195,27.148,1.2485e+19,4.77e+21,-53.34381244320828,-53.34381244320828,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-03-14 14:25:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,16,14,40,32.0,1363,2.77e+21,1.68e+19,-23.4,-26.52,1.9335,-3.87e+21,2.66e+19,-21.934,-16.463,2.3104,9.3925,-1,723000.0,1980.2,65.87867636800242,-22.667,-21.4915,2.17e+19,6.64e+21,8.976875545316657,-171.02312445468334,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-16 14:40:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,23,15,20,49.0,1364,6.34e+21,2.27e+19,-28.051,-20.129,1.7725,-7.84e+21,2.85e+19,-25.703000000000003,-12.517,1.8922,7.1829,-1,723000.0,1980.2,71.55417527999327,-26.877,-16.323,2.56e+19,1.418e+22,19.07618645944581,-160.9238135405542,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-23 15:20:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,17,15,7,4.0,1365,1.64e+21,1.13e+19,-2.6632,-28.515,1.5022,-1.84e+21,1.19e+19,-2.7801,-24.441,1.2059,4.0709,-1,723000.0,1980.2,48.16637831516918,-2.72165,-26.478,1.16e+19,3.48e+21,-1.6454582158601696,178.35454178413983,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-17 15:07:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,18,14,47,56.0,1367,7.5e+21,3.69e+19,-26.289,-59.016000000000005,2.5524,-6.16e+21,3.31e+19,-23.509,-51.67,2.0958,7.2188,-1,723000.0,1980.2,83.66600265340756,-24.899,-55.343,3.5e+19,1.366e+22,22.64672681734284,-157.35327318265718,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-18 14:47:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,20,15,31,13.0,1368,1.51e+21,7.43e+18,-26.224,-7.8294,0.90168,-1.58e+21,7.41e+18,-25.474,-4.4399,1.0466,3.141,-1,723000.0,1980.2,38.52272056851645,-25.849,-6.13465,7.42e+18,3.09e+21,13.81342365803943,-166.18657634196057,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-20 15:31:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,20,15,31,13.0,1369,2.46e+21,1.83e+19,-7.307,-37.752,2.2923,-2.52e+21,1.85e+19,-10.223,-33.658,2.6578,4.2595,-1,723000.0,1980.2,60.663003552412405,-8.765,-35.705,1.84e+19,4.98e+21,-35.77946960766888,144.22053039233114,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1980-03-20 15:31:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,25,14,19,35.0,1370,3.62e+21,1.72e+19,12.791,-59.683,1.6522,-3.13e+21,1.7e+19,13.181,-65.05199999999999,2.0658,5.6692,1,723000.0,1980.2,58.48076606885378,12.986,-62.36749999999999,1.71e+19,6.75e+21,-4.263270410269068,-4.263270410269068,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-03-25 14:19:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,21,14,30,52.0,1371,1.09e+22,4.27e+19,5.6155,-85.54299999999999,3.1293,-1.9e+22,1.19e+20,5.7419,-94.108,4.1506,8.5237,1,723000.0,1980.2,127.16131487209464,5.6787,-89.82549999999999,8.085e+19,2.99e+22,-0.8496637347958415,-0.8496637347958415,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-03-21 14:30:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
1980,3,20,15,31,13.0,1372,3.97e+21,1.49e+19,24.457,-67.669,2.9743,-6.94e+21,4.02e+19,26.591,-77.10600000000001,2.4252,8.7765,1,723000.0,1980.2,74.22937423958254,25.524,-72.3875,2.755e+19,1.091e+22,-14.067908609329912,-14.067908609329912,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1980-03-20 15:31:00,KPVT,False,False,False,False,False,False,False,False,False,False,False,False
