ReferenceDay,Year,Month,Day,Hour,Minute,Second,BMRLabel,PFlux,PArea,PLatitude,PLongitude,PpixelAvgRadius,NFlux,NArea,NLatitude,NLongitude,NpixelAvgRadius,R,LeadingPolarity,DayAfterChrist,FRACYEAR,PlotSize,BMRLatitude,BMRLongitude,BMRArea,BMRFlux,Flux_cut,Tilt_rel,Tilt_abs,HH_23n,AH_23n,HH_23s,AH_23s,HH_24n,AH_24n,HH_24s,AH_24s,Cycle23n,Cycle23s,Cycle24n,Cycle24s,Hale,AntiHale
1494,1997,2,3,1,36,4.345,29,3.81e+21,1.05e+19,-20.919,-36.911,1.342,-2.21e+21,5.63e+18,-21.14,-33.26,0.8776200000000001,3.4146,-1,729000.0,1997.1,40.162171256046406,-21.0295,-35.0855,8.065e+18,6.02e+21,True,-3.7104750688042047,176.2895249311958,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1496,1997,2,5,1,39,4.317,30,5.88e+21,2.04e+19,3.3639,7.2326,1.7227,-8.45e+21,2.64e+19,4.1583,12.029000000000002,2.0216,4.8516,-1,729000.0,1997.1,68.41052550594827,3.7611,9.6308,2.34e+19,1.433e+22,True,9.424133186764532,-170.57586681323548,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1509,1997,2,18,1,39,4.163,31,1.26e+21,5.28e+18,8.6652,-164.58,0.77891,-1.97e+21,7.93e+18,7.2655,-162.6,0.99172,2.4051,-1,729000.0,1997.1,36.345563690772494,7.965350000000001,-163.59,6.605e+18,3.23e+21,False,-35.519471973004826,144.48052802699516,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1518,1997,2,27,1,39,4.137,32,1.32e+21,7.41e+18,4.4438,12.52,1.2507,-1.42e+21,8.44e+18,3.5361,19.19,1.1948,6.7154,-1,729000.0,1997.2,39.81205847478876,3.98995,15.855,7.925e+18,2.74e+21,False,-7.768201208075351,172.23179879192466,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1519,1997,2,28,1,39,4.138999999999999,33,4.08e+21,2.19e+19,34.797,-11.358,2.0742,-1.55e+21,9.64e+18,35.922,-23.361,1.3051,9.8467,1,729000.0,1997.2,56.160484328395896,35.3595,-17.3595,1.577e+19,5.63e+21,True,-6.556022634982436,-6.556022634982436,True,False,False,False,False,False,False,False,True,False,False,False,True,False
1521,1997,3,2,1,35,4.146,33,3.21e+21,1.84e+19,34.734,-11.733,1.8878,-2.42e+21,1.28e+19,35.927,-26.172,1.9166,11.829,1,729000.0,1997.2,55.85696017507577,35.3305,-18.9525,1.56e+19,5.63e+21,True,-5.782932312414947,-5.782932312414947,True,False,False,False,False,False,False,False,True,False,False,False,True,False
1529,1997,3,10,1,35,4.173,35,7.91e+21,4.11e+19,6.5325,-157.42,2.5571,-9.15e+21,3.26e+19,6.8945,-149.09,2.3559,8.2827,-1,729000.0,1997.2,85.84870412533901,6.7135,-153.255,3.685e+19,1.706e+22,True,2.5055172934181424,-177.49448270658186,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1535,1997,3,16,1,36,4.182,36,1.06e+21,4.82e+18,-5.0491,-161.56,0.8380299999999999,-1.04e+21,5.25e+18,-4.5415,-158.51,0.8195899999999999,3.0767,-1,729000.0,1997.2,31.73326330524486,-4.7953,-160.035,5.035e+18,2.1e+21,False,9.481506408811786,-170.51849359118822,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1553,1997,4,3,1,35,4.386,37,8.64e+21,3.35e+19,-23.361,-70.9,2.8160000000000003,-7.59e+21,2.17e+19,-23.941,-65.156,3.6907,5.2483,-1,729000.0,1997.3,74.29670248402684,-23.651,-68.028,2.76e+19,1.623e+22,True,-6.290540380063537,173.70945961993647,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1556,1997,4,6,1,35,4.448,38,5.06e+21,2.28e+19,-28.259,-151.39,2.4902,-4.56e+21,1.48e+19,-28.761,-148.26,1.5102,2.7918,-1,729000.0,1997.3,61.318838867023565,-28.51,-149.825,1.88e+19,9.62e+21,True,-10.343569865232135,169.65643013476787,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1561,1997,4,11,1,35,4.552,39,6.91e+21,1.43e+19,23.764,-141.27,1.267,-4.4e+21,1.25e+19,22.875,-144.71,1.2097,3.2778,1,729000.0,1997.3,51.76871642217914,23.3195,-142.99,1.34e+19,1.131e+22,True,15.717603102985288,15.717603102985288,True,False,False,False,False,False,False,False,True,False,False,False,True,False
1564,1997,4,14,6,28,4.62,40,5.1e+21,1.58e+19,-30.987,-168.93,1.364,-5.46e+21,2.08e+19,-29.827,-165.39,1.7031,3.2688,-1,729000.0,1997.3,60.4979338490167,-30.407,-167.16,1.83e+19,1.056e+22,True,20.80399969147737,-159.19600030852263,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1567,1997,4,17,1,40,4.683,41,2.56e+21,1.06e+19,-22.546,110.26,1.618,-3.07e+21,1.21e+19,-23.824,115.38,1.3413,4.8742,-1,730000.0,1997.3,47.64451699828639,-23.185,112.82,1.135e+19,5.63e+21,True,-15.191746744042796,164.80825325595725,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1575,1997,4,25,4,51,4.9,42,7.76e+20,4.41e+18,-33.98,-23.154,0.74845,-8.18e+20,4.7e+18,-33.815,-20.617,0.69877,2.1119,-1,730000.0,1997.3,30.18277654557314,-33.897499999999994,-21.8855,4.555e+18,1.594e+21,False,4.480251862750834,-175.51974813724917,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1578,1997,4,28,1,40,4.989,44,3.35e+21,1.15e+19,-18.728,5.9841,1.1842,-4.29e+21,1.82e+19,-17.713,10.339,1.5097,4.259,-1,730000.0,1997.3,54.49770637375485,-18.2205,8.16155,1.485e+19,7.64e+21,True,13.786502044277418,-166.21349795572257,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1578,1997,4,28,1,40,4.989,45,9.3e+20,5.09e+18,18.67,-36.161,0.96202,-6.59e+20,2.93e+18,18.446,-40.241,0.57371,3.8746,1,730000.0,1997.3,28.3196045170126,18.558,-38.201,4.01e+18,1.589e+21,False,3.314487761353656,3.314487761353656,True,False,False,False,False,False,False,False,True,False,False,False,True,False
1588,1997,5,8,1,40,5.282,46,4.3e+21,1.01e+19,20.312,142.43,1.3956,-4.1e+21,2.14e+19,21.976,138.13,1.9774,4.3369,1,730000.0,1997.3,56.12486080160912,21.144,140.28,1.575e+19,8.4e+21,True,-22.534041058649425,-22.534041058649425,True,False,False,False,False,False,False,False,True,False,False,False,True,False
1588,1997,5,8,1,40,5.282,47,7.21e+20,4.25e+18,-31.113000000000003,-179.24,0.95977,-1.35e+21,8.61e+18,-32.535,-172.3,1.8388,6.0659,-1,730000.0,1997.3,35.86084215408222,-31.824,-175.77,6.43e+18,2.071e+21,False,-13.558066992464031,166.441933007536,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1603,1997,5,23,1,40,5.547000000000001,49,8.05e+21,3.05e+19,5.3586,11.44,2.0124,-7.89e+21,2.56e+19,5.3281,18.27,2.2823,6.8007,-1,730000.0,1997.4,74.89993324429602,5.34335,14.855,2.805e+19,1.594e+22,True,-0.25697459124013,179.74302540875985,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1600,1997,5,20,1,40,5.505,50,4.41e+21,1.72e+19,27.785,70.17399999999999,1.4925,-2.01e+21,7.96e+18,26.508000000000003,67.316,0.97866,2.8458,1,730000.0,1997.4,50.15974481593781,27.146500000000003,68.745,1.258e+19,6.42e+21,True,26.66255829809247,26.66255829809247,True,False,False,False,False,False,False,False,True,False,False,False,True,False
1602,1997,5,22,1,40,5.533,51,1.2e+21,5.61e+18,1.113,0.8529,0.81722,-1.36e+21,4.86e+18,1.9326,3.1591,0.79651,2.4467,-1,730000.0,1997.4,32.357379374726875,1.5228000000000002,2.006,5.235e+18,2.56e+21,False,19.571082077849628,-160.42891792215036,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1603,1997,5,23,1,40,5.547000000000001,52,1.72e+21,9.87e+18,-36.301,-61.746,1.1134,-2.39e+21,1.12e+19,-34.077,-53.819,1.5357,6.847,-1,730000.0,1997.4,45.902069670114,-35.189,-57.7825,1.0535e+19,4.11e+21,True,18.94711292781077,-161.05288707218924,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1606,1997,5,26,1,40,5.585,53,5.12e+21,2.28e+19,-28.589,-99.191,2.7293,-4e+21,1.86e+19,-26.135,-93.916,2.3563,5.2876,-1,730000.0,1997.4,64.34283176858165,-27.362,-96.5535,2.07e+19,9.12e+21,True,27.646347103619146,-152.35365289638088,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1610,1997,5,30,3,16,5.627999999999999,54,6.04e+21,2.96e+19,26.366,-143.94,2.0046,-5.72e+21,2.82e+19,27.043000000000003,-153.49,2.785,8.5676,1,730000.0,1997.4,76.02631123499285,26.704500000000003,-148.715,2.89e+19,1.176e+22,True,-4.53715823735805,-4.53715823735805,True,False,False,False,False,False,False,False,True,False,False,False,True,False
1614,1997,6,3,1,40,5.649,55,6.38e+21,1.87e+19,-29.504,-175.49,1.5912,-5.33e+21,1.47e+19,-27.252,-169.31,1.6674,5.8905,-1,730000.0,1997.4,57.79273310719955,-28.378,-172.4,1.67e+19,1.171e+22,True,22.49796034800169,-157.5020396519983,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1622,1997,6,11,1,40,5.606,56,8.38e+20,3.06e+18,27.825,68.001,0.73634,-1.19e+21,7.32e+18,31.011,62.42,1.1112,5.8113,1,730000.0,1997.4,32.218007387174026,29.418,65.2105,5.19e+18,2.028e+21,False,-33.239591680810136,-33.239591680810136,True,False,False,False,False,False,False,False,True,False,False,False,True,False
1628,1997,6,17,1,36,5.516,57,4.05e+21,1.72e+19,18.785,31.617,1.466,-3.73e+21,1.48e+19,18.598,27.547,1.4075,3.8606,1,730000.0,1997.5,56.56854249492381,18.6915,29.582,1.6e+19,7.78e+21,True,2.776907353647897,2.776907353647897,True,False,False,False,False,False,False,False,True,False,False,False,True,False
1630,1997,6,19,1,36,5.48,58,1.59e+21,5.24e+18,-26.764,-40.886,0.7721399999999999,-1.44e+21,5e+18,-27.211,-38.352,0.79394,2.3019,-1,730000.0,1997.5,32.0,-26.9875,-39.619,5.12e+18,3.03e+21,False,-11.197357880425638,168.80264211957436,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1635,1997,6,24,1,36,5.388999999999999,59,1.34e+21,5.72e+18,14.768,-67.059,0.91917,-1.32e+21,6.29e+18,14.679,-69.915,0.9401,2.7631,1,730000.0,1997.5,34.655446902326915,14.7235,-68.487,6.005e+18,2.66e+21,False,1.8454584648964825,1.8454584648964825,True,False,False,False,False,False,False,False,True,False,False,False,True,False
1638,1997,6,27,1,36,5.332000000000001,60,3.71e+21,1.35e+19,18.113,-83.36200000000001,1.3623,-3.97e+21,1.67e+19,16.572,-79.145,1.5267,4.3096,-1,730000.0,1997.5,54.954526656136345,17.3425,-81.2535,1.51e+19,7.68e+21,True,-20.948299409940528,159.05170059005945,False,True,False,False,False,False,False,False,True,False,False,False,False,True
