ReferenceDay,Year,Month,Day,Hour,Minute,Second,BMRLabel,PFlux,PArea,PLatitude,PLongitude,PpixelAvgRadius,NFlux,NArea,NLatitude,NLongitude,NpixelAvgRadius,R,LeadingPolarity,DayAfterChrist,FRACYEAR,PlotSize,BMRLatitude,BMRLongitude,BMRArea,BMRFlux,Flux_cut,Tilt_rel,Tilt_abs,HH_24n,AH_24n,HH_24s,AH_24s,Cycle24n,Cycle24s,Hale,AntiHale
1108,2012,1,14,21,46,10.2,611,1.28e+21,4.81e+18,-20.014,-81.476,1.1588,-1.25e+21,5.11e+18,-20.524,-85.079,0.92376,3.4182,1,735000.0,2012.0,31.496031496047245,-20.269,-83.2775,4.96e+18,2.53e+21,False,8.580770280071851,8.580770280071851,False,False,True,False,False,True,True,False
1109,2012,1,15,21,46,10.3,612,2.64e+21,9.28e+18,12.672,-46.271,1.4753,-3.83e+21,1.23e+19,12.055,-41.432,2.0793,4.7665,-1,735000.0,2012.0,46.45427859734774,12.3635,-43.8515,1.079e+19,6.47e+21,True,-7.436934857064777,172.56306514293522,True,False,False,False,True,False,True,False
1110,2012,1,16,21,46,10.3,614,2.21e+22,6.14e+19,18.422,-148.99,3.1207,-9.12e+21,1.64e+19,16.539,-141.39,1.5616,7.4916,-1,735000.0,2012.0,88.2043082847998,17.4805,-145.19,3.89e+19,3.122e+22,True,-14.561282987133634,165.43871701286636,True,False,False,False,True,False,True,False
1111,2012,1,17,21,46,10.3,616,2.45e+21,8.32e+18,-21.543000000000003,-48.225,1.17,-1.54e+21,5.62e+18,-22.033,-51.523,0.83011,3.1003,1,735000.0,2012.0,37.336309405188935,-21.788000000000004,-49.874,6.97e+18,3.99e+21,True,9.090560902876978,9.090560902876978,False,False,True,False,False,True,True,False
1119,2012,1,25,21,46,10.7,619,2.69e+22,8.02e+19,30.931,-154.01,3.935,-2.43e+22,6.04e+19,26.307,-149.65,5.0659,6.0015,-1,735000.0,2012.1,118.57487086225312,28.619,-151.82999999999998,7.03e+19,5.12e+22,True,-50.38523168014344,129.61476831985658,True,False,False,False,True,False,True,False
1109,2012,1,15,21,46,10.3,620,6.12e+20,1.94e+18,-23.366,-136.01,0.5937399999999999,-4.1e+21,1.55e+19,-22.723000000000003,-137.92,1.5642,1.8747,1,735000.0,2012.0,41.7612260356422,-23.0445,-136.96499999999995,8.72e+18,4.712e+21,True,-20.09469706154001,-20.09469706154001,False,False,True,False,False,True,True,False
1112,2012,1,18,21,46,10.4,621,7.53e+20,3.29e+18,-18.065,-107.45,0.8697,-1.52e+21,6.72e+18,-19.321,-110.19,1.1503,2.8817,1,735000.0,2012.0,31.63858403911275,-18.693,-108.82,5.005e+18,2.273e+21,False,25.82332765887044,25.82332765887044,False,False,True,False,False,True,True,False
1117,2012,1,23,21,46,10.6,624,2.74e+21,9.29e+18,17.725,-135.4,1.0842,-4e+21,1.84e+19,18.145,-128.2,2.1307,6.8556,-1,735000.0,2012.1,52.62128846769148,17.935000000000002,-131.8,1.3845e+19,6.74e+21,True,3.508568836890265,-176.49143116310975,True,False,False,False,True,False,True,False
1114,2012,1,20,21,46,10.4,631,1.13e+21,4.79e+18,10.878,-163.44,1.3803,-1.82e+21,4.92e+18,12.202,-160.31,1.0924,3.346,-1,735000.0,2012.1,31.160872901765767,11.54,-161.875,4.855e+18,2.95e+21,False,23.351330756451944,-156.64866924354806,True,False,False,False,True,False,True,False
1116,2012,1,22,21,46,10.5,632,4.73e+21,2.4e+19,10.465,128.18,2.6698,-5.13e+21,9.61e+18,7.8554,132.71,1.0724,5.1733,-1,735000.0,2012.1,57.97413216254297,9.1602,130.445,1.6805e+19,9.86e+21,True,-30.26407953157303,149.73592046842697,True,False,False,False,True,False,True,False
1122,2012,1,28,21,46,10.8,635,1.16e+22,5.01e+19,18.481,55.252,3.2712,-8.12e+21,1.62e+19,17.929000000000002,61.663,1.5472,6.1154,-1,735000.0,2012.1,81.42481194328913,18.205,58.4575,3.315e+19,1.972e+22,True,-5.179078288298212,174.8209217117018,True,False,False,False,True,False,True,False
1127,2012,2,2,21,46,11.2,636,2.79e+21,1.28e+19,-25.052,99.74,1.672,-1.02e+21,3.44e+18,-27.631,94.093,0.69076,5.6788,1,735000.0,2012.1,40.29888335921977,-26.3415,96.91649999999998,8.12e+18,3.81e+21,True,27.004246179647364,27.004246179647364,False,False,True,False,False,True,True,False
1125,2012,1,31,21,46,11.0,638,1.36e+21,4.47e+18,15.747,127.91,0.8629899999999999,-2.25e+21,1.09e+19,14.755999999999998,130.0,1.2887,2.2463,-1,735000.0,2012.1,39.20459156782532,15.2515,128.95499999999998,7.685e+18,3.61e+21,True,-26.17282977495405,153.82717022504596,True,False,False,False,True,False,True,False
1127,2012,2,2,21,46,11.2,639,4.67e+21,1.46e+19,7.8338,60.205,1.5967,-3.78e+21,1.01e+19,8.8069,63.81,1.105,3.6976,-1,735000.0,2012.1,49.69909455915671,8.320350000000001,62.0075,1.235e+19,8.45e+21,True,15.259106011059808,-164.7408939889402,True,False,False,False,True,False,True,False
1126,2012,2,1,21,46,11.1,641,1.98e+21,9.49e+18,13.616,12.191,1.5373,-3.55e+21,1.72e+19,11.733,23.542,2.8504,11.232,-1,735000.0,2012.1,51.66236541235797,12.674499999999998,17.8665,1.3345e+19,5.53e+21,True,-9.649813467581218,170.35018653241875,True,False,False,False,True,False,True,False
1129,2012,2,4,21,46,11.3,642,3.51e+20,1.2e+18,-5.2987,37.845,0.47289,-3.59e+20,1.24e+18,-5.4026,35.415,0.48748,2.421,1,735000.0,2012.1,15.62049935181331,-5.35065,36.63,1.22e+18,7.1e+20,False,2.4590176659578504,2.4590176659578504,False,False,True,False,False,True,True,False
